LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NY: YAPHANK,01/01/2019 01:28:00,60.00,2143.00,1367.00,357.00,190.00,97.00,126.00,70.00,34.00,APPROVED
NY: YAPHANK,01/01/2019 02:28:00,65.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2019 03:28:00,71.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2019 04:28:00,62.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2019 05:29:00,56.00,,,,,,,,,APPROVED
NY: YAPHANK,01/01/2019 06:29:00,57.00,2016.00,1280.00,333.00,180.00,91.00,119.00,67.00,32.00,APPROVED
NY: YAPHANK,01/01/2019 07:29:00,58.00,2021.00,1272.00,333.00,180.00,92.00,120.00,70.00,32.00,APPROVED
NY: YAPHANK,01/01/2019 08:29:00,47.00,1812.00,1078.00,288.00,144.00,79.00,101.00,58.00,28.00,APPROVED
NY: YAPHANK,01/01/2019 09:30:00,46.00,1697.00,987.00,265.00,128.00,70.00,89.00,53.00,28.00,APPROVED
NY: YAPHANK,01/01/2019 10:30:00,43.00,1657.00,963.00,256.00,122.00,67.00,86.00,53.00,26.00,APPROVED
NY: YAPHANK,01/01/2019 11:30:00,42.00,1679.00,971.00,259.00,122.00,69.00,86.00,54.00,27.00,APPROVED
NY: YAPHANK,01/01/2019 12:30:00,43.00,1681.00,977.00,263.00,124.00,70.00,87.00,53.00,26.00,APPROVED
NY: YAPHANK,01/01/2019 13:31:00,42.00,1691.00,986.00,267.00,125.00,71.00,88.00,54.00,27.00,APPROVED
NY: YAPHANK,01/01/2019 14:31:00,46.00,1727.00,1002.00,269.00,128.00,70.00,89.00,56.00,27.00,APPROVED
NY: YAPHANK,01/01/2019 15:31:00,44.00,1715.00,1013.00,267.00,128.00,72.00,88.00,60.00,27.00,APPROVED
NY: YAPHANK,01/01/2019 16:31:00,45.00,1739.00,1031.00,271.00,134.00,72.00,90.00,57.00,27.00,APPROVED
NY: YAPHANK,01/01/2019 17:31:00,48.00,1772.00,1060.00,277.00,140.00,77.00,93.00,64.00,27.00,APPROVED
NY: YAPHANK,01/01/2019 18:32:00,45.00,1761.00,1055.00,278.00,141.00,76.00,95.00,60.00,28.00,APPROVED
NY: YAPHANK,01/01/2019 19:32:00,46.00,1756.00,1043.00,272.00,136.00,74.00,92.00,60.00,28.00,APPROVED
NY: YAPHANK,01/01/2019 20:32:00,46.00,1738.00,1030.00,273.00,135.00,74.00,92.00,59.00,26.00,APPROVED
NY: YAPHANK,01/01/2019 21:32:00,46.00,1737.00,1026.00,269.00,135.00,73.00,93.00,57.00,28.00,APPROVED
NY: YAPHANK,01/01/2019 22:33:00,44.00,1717.00,1010.00,269.00,131.00,72.00,91.00,57.00,27.00,APPROVED
NY: YAPHANK,01/01/2019 23:33:00,43.00,1710.00,998.00,266.00,123.00,70.00,88.00,54.00,25.00,APPROVED
NY: YAPHANK,01/02/2019 02:33:00,43.00,1677.00,947.00,258.00,118.00,69.00,85.00,50.00,26.00,APPROVED
NY: YAPHANK,01/02/2019 03:34:00,44.00,1684.00,946.00,260.00,117.00,70.00,84.00,50.00,26.00,APPROVED
NY: YAPHANK,01/02/2019 04:34:00,41.00,1679.00,958.00,261.00,118.00,68.00,85.00,51.00,26.00,APPROVED
NY: YAPHANK,01/02/2019 05:34:00,45.00,1676.00,954.00,253.00,117.00,70.00,85.00,49.00,24.00,APPROVED
NY: YAPHANK,01/02/2019 06:34:00,46.00,1673.00,946.00,260.00,117.00,69.00,83.00,49.00,25.00,APPROVED
NY: YAPHANK,01/02/2019 07:35:00,43.00,1663.00,934.00,256.00,113.00,69.00,82.00,48.00,25.00,APPROVED
NY: YAPHANK,01/02/2019 08:35:00,43.00,1671.00,927.00,257.00,116.00,69.00,82.00,49.00,25.00,APPROVED
NY: YAPHANK,01/02/2019 09:35:00,45.00,1676.00,931.00,256.00,116.00,71.00,83.00,48.00,25.00,APPROVED
NY: YAPHANK,01/02/2019 10:35:00,45.00,1664.00,915.00,256.00,110.00,68.00,81.00,46.00,24.00,APPROVED
NY: YAPHANK,01/02/2019 11:36:00,44.00,1662.00,929.00,258.00,114.00,68.00,79.00,48.00,25.00,APPROVED
NY: YAPHANK,01/02/2019 12:36:00,46.00,1649.00,927.00,257.00,110.00,67.00,79.00,47.00,24.00,APPROVED
NY: YAPHANK,01/02/2019 13:36:00,43.00,1648.00,912.00,257.00,112.00,69.00,77.00,46.00,25.00,APPROVED
NY: YAPHANK,01/02/2019 14:29:00,41.00,1646.00,920.00,256.00,108.00,65.00,80.00,47.00,25.00,APPROVED
NY: YAPHANK,01/02/2019 15:36:00,42.00,1628.00,898.00,245.00,105.00,67.00,75.00,46.00,25.00,APPROVED
NY: YAPHANK,01/02/2019 16:36:00,43.00,1636.00,910.00,253.00,109.00,67.00,78.00,46.00,24.00,APPROVED
NY: YAPHANK,01/02/2019 17:36:00,42.00,1637.00,902.00,248.00,109.00,68.00,78.00,47.00,24.00,APPROVED
NY: YAPHANK,01/02/2019 18:36:00,43.00,1647.00,920.00,253.00,108.00,66.00,79.00,49.00,25.00,APPROVED
NY: YAPHANK,01/02/2019 19:37:00,43.00,1638.00,915.00,250.00,112.00,68.00,80.00,48.00,25.00,APPROVED
NY: YAPHANK,01/07/2019 21:27:00,41.00,1581.00,820.00,232.00,94.00,63.00,80.00,35.00,26.00,APPROVED
NY: YAPHANK,01/07/2019 22:27:00,44.00,1580.00,811.00,229.00,93.00,61.00,79.00,33.00,24.00,APPROVED
NY: YAPHANK,01/07/2019 23:27:00,43.00,1570.00,809.00,228.00,94.00,61.00,81.00,32.00,25.00,APPROVED
NY: YAPHANK,01/08/2019 00:28:00,41.00,1579.00,805.00,229.00,95.00,60.00,80.00,33.00,25.00,APPROVED
NY: YAPHANK,01/08/2019 01:28:00,41.00,1569.00,813.00,231.00,96.00,61.00,79.00,33.00,25.00,APPROVED
NY: YAPHANK,01/08/2019 02:28:00,43.00,1572.00,808.00,229.00,96.00,61.00,80.00,31.00,25.00,APPROVED
NY: YAPHANK,01/08/2019 03:28:00,41.00,1573.00,809.00,228.00,96.00,62.00,83.00,33.00,26.00,APPROVED
NY: YAPHANK,01/08/2019 04:29:00,42.00,1578.00,806.00,229.00,96.00,64.00,81.00,33.00,26.00,APPROVED
NY: YAPHANK,01/08/2019 05:29:00,42.00,1564.00,811.00,227.00,94.00,60.00,81.00,34.00,25.00,APPROVED
NY: YAPHANK,01/08/2019 06:29:00,42.00,1580.00,817.00,229.00,95.00,60.00,79.00,35.00,26.00,APPROVED
NY: YAPHANK,01/08/2019 07:29:00,44.00,1576.00,820.00,229.00,96.00,62.00,80.00,34.00,25.00,APPROVED
NY: YAPHANK,01/08/2019 08:30:00,43.00,1583.00,823.00,231.00,96.00,61.00,81.00,36.00,24.00,APPROVED
NY: YAPHANK,01/08/2019 09:30:00,44.00,1632.00,872.00,245.00,105.00,65.00,83.00,39.00,25.00,APPROVED
NY: YAPHANK,01/08/2019 10:30:00,47.00,1712.00,927.00,261.00,110.00,69.00,92.00,40.00,26.00,APPROVED
NY: YAPHANK,01/08/2019 11:30:00,48.00,1699.00,921.00,264.00,108.00,67.00,91.00,42.00,26.00,APPROVED
NY: YAPHANK,01/08/2019 12:30:00,45.00,1647.00,880.00,248.00,105.00,67.00,86.00,42.00,25.00,APPROVED
NY: YAPHANK,01/08/2019 13:08:00,42.00,1610.00,865.00,244.00,100.00,64.00,84.00,42.00,25.00,APPROVED
NY: YAPHANK,01/08/2019 14:14:00,44.00,1614.00,851.00,235.00,99.00,62.00,83.00,40.00,25.00,APPROVED
NY: YAPHANK,01/08/2019 15:14:00,48.00,1611.00,844.00,237.00,100.00,63.00,85.00,40.00,25.00,APPROVED
NY: YAPHANK,01/08/2019 16:14:00,44.00,1605.00,850.00,235.00,99.00,63.00,82.00,43.00,25.00,APPROVED
NY: YAPHANK,01/08/2019 17:15:00,46.00,1587.00,832.00,234.00,99.00,63.00,82.00,43.00,25.00,APPROVED
NY: YAPHANK,01/08/2019 18:15:00,43.00,1603.00,859.00,235.00,102.00,64.00,81.00,43.00,25.00,APPROVED
NY: YAPHANK,01/08/2019 19:15:00,44.00,1602.00,846.00,235.00,100.00,61.00,80.00,45.00,26.00,APPROVED
NY: YAPHANK,01/08/2019 20:15:00,46.00,1590.00,846.00,236.00,99.00,62.00,81.00,42.00,25.00,APPROVED
NY: YAPHANK,01/08/2019 21:16:00,45.00,1600.00,853.00,237.00,99.00,63.00,79.00,43.00,25.00,APPROVED
NY: YAPHANK,01/08/2019 22:16:00,45.00,1605.00,847.00,234.00,101.00,61.00,81.00,43.00,25.00,APPROVED
NY: YAPHANK,01/08/2019 23:16:00,44.00,1596.00,846.00,232.00,100.00,65.00,80.00,41.00,25.00,APPROVED
NY: YAPHANK,01/09/2019 00:16:00,43.00,1605.00,845.00,233.00,101.00,63.00,82.00,41.00,24.00,APPROVED
NY: YAPHANK,01/09/2019 01:16:00,45.00,1610.00,855.00,237.00,101.00,65.00,82.00,42.00,26.00,APPROVED
NY: YAPHANK,01/09/2019 02:17:00,44.00,1615.00,854.00,238.00,102.00,64.00,80.00,45.00,25.00,APPROVED
NY: YAPHANK,01/09/2019 03:17:00,44.00,1607.00,857.00,239.00,102.00,63.00,84.00,40.00,24.00,APPROVED
NY: YAPHANK,01/09/2019 04:17:00,45.00,1614.00,859.00,239.00,100.00,63.00,83.00,41.00,26.00,APPROVED
NY: YAPHANK,01/09/2019 05:17:00,45.00,1625.00,871.00,245.00,105.00,65.00,86.00,45.00,26.00,APPROVED
NY: YAPHANK,01/09/2019 06:18:00,50.00,1835.00,1038.00,288.00,125.00,75.00,103.00,51.00,26.00,APPROVED
NY: YAPHANK,01/09/2019 07:18:00,64.00,2125.00,1266.00,354.00,158.00,91.00,129.00,64.00,29.00,APPROVED
NY: YAPHANK,01/09/2019 08:18:00,61.00,2001.00,1166.00,336.00,152.00,88.00,123.00,59.00,28.00,APPROVED
NY: YAPHANK,01/09/2019 09:18:00,51.00,1768.00,974.00,277.00,119.00,72.00,99.00,50.00,27.00,APPROVED
NY: YAPHANK,01/09/2019 10:19:00,48.00,1730.00,943.00,260.00,112.00,70.00,92.00,46.00,26.00,APPROVED
NY: YAPHANK,01/09/2019 11:19:00,50.00,1715.00,935.00,261.00,109.00,70.00,93.00,46.00,27.00,APPROVED
NY: YAPHANK,01/09/2019 12:19:00,48.00,1714.00,941.00,264.00,112.00,69.00,94.00,46.00,26.00,APPROVED
NY: YAPHANK,01/09/2019 13:19:00,49.00,1700.00,930.00,264.00,112.00,70.00,94.00,47.00,27.00,APPROVED
NY: YAPHANK,01/09/2019 14:19:00,46.00,1682.00,923.00,257.00,112.00,70.00,92.00,44.00,26.00,APPROVED
NY: YAPHANK,01/09/2019 15:20:00,48.00,1690.00,929.00,259.00,113.00,69.00,91.00,47.00,26.00,APPROVED
NY: YAPHANK,01/09/2019 16:20:00,49.00,1677.00,917.00,256.00,114.00,66.00,90.00,47.00,27.00,APPROVED
NY: YAPHANK,01/09/2019 17:20:00,49.00,1689.00,936.00,257.00,114.00,70.00,91.00,48.00,26.00,APPROVED
NY: YAPHANK,01/09/2019 18:20:00,47.00,1695.00,926.00,253.00,112.00,69.00,91.00,48.00,26.00,APPROVED
NY: YAPHANK,01/09/2019 19:21:00,49.00,1677.00,926.00,256.00,110.00,70.00,89.00,47.00,26.00,APPROVED
NY: YAPHANK,01/09/2019 20:21:00,49.00,1693.00,920.00,256.00,111.00,70.00,92.00,48.00,26.00,APPROVED
NY: YAPHANK,01/09/2019 21:21:00,48.00,1680.00,913.00,254.00,110.00,69.00,91.00,46.00,25.00,APPROVED
NY: YAPHANK,01/09/2019 22:21:00,45.00,1672.00,905.00,253.00,110.00,69.00,91.00,43.00,26.00,APPROVED
NY: YAPHANK,01/09/2019 23:22:00,48.00,1663.00,899.00,255.00,110.00,66.00,91.00,42.00,26.00,APPROVED
NY: YAPHANK,01/10/2019 00:22:00,48.00,1669.00,898.00,255.00,109.00,68.00,89.00,43.00,26.00,APPROVED
NY: YAPHANK,01/10/2019 01:22:00,48.00,1678.00,906.00,255.00,107.00,68.00,90.00,41.00,26.00,APPROVED
NY: YAPHANK,01/10/2019 02:22:00,46.00,1685.00,901.00,259.00,106.00,67.00,92.00,42.00,26.00,APPROVED
NY: YAPHANK,01/10/2019 03:22:00,46.00,1684.00,900.00,254.00,107.00,66.00,91.00,40.00,26.00,APPROVED
NY: YAPHANK,01/10/2019 04:23:00,47.00,1669.00,883.00,253.00,104.00,67.00,90.00,40.00,26.00,APPROVED
NY: YAPHANK,01/10/2019 05:23:00,49.00,1653.00,886.00,253.00,103.00,67.00,88.00,37.00,27.00,APPROVED
NY: YAPHANK,01/10/2019 06:23:00,49.00,1662.00,887.00,250.00,102.00,69.00,90.00,39.00,26.00,APPROVED
NY: YAPHANK,01/10/2019 07:23:00,50.00,1674.00,888.00,248.00,104.00,66.00,89.00,38.00,27.00,APPROVED
NY: YAPHANK,01/10/2019 08:24:00,49.00,1661.00,883.00,251.00,105.00,66.00,91.00,39.00,27.00,APPROVED
NY: YAPHANK,01/10/2019 09:24:00,49.00,1664.00,893.00,252.00,104.00,66.00,90.00,37.00,25.00,APPROVED
NY: YAPHANK,01/10/2019 10:24:00,49.00,1678.00,902.00,258.00,107.00,67.00,92.00,40.00,26.00,APPROVED
NY: YAPHANK,01/10/2019 11:24:00,53.00,1825.00,1010.00,289.00,121.00,74.00,103.00,43.00,26.00,APPROVED
NY: YAPHANK,01/10/2019 12:25:00,48.00,1720.00,940.00,273.00,112.00,71.00,96.00,41.00,27.00,APPROVED
NY: YAPHANK,01/10/2019 13:25:00,49.00,1644.00,873.00,250.00,102.00,64.00,87.00,37.00,26.00,APPROVED
NY: YAPHANK,01/10/2019 14:25:00,46.00,1628.00,858.00,241.00,101.00,66.00,87.00,37.00,26.00,APPROVED
NY: YAPHANK,01/10/2019 15:25:00,47.00,1615.00,849.00,241.00,100.00,61.00,85.00,37.00,26.00,APPROVED
NY: YAPHANK,01/10/2019 16:25:00,47.00,1621.00,844.00,242.00,97.00,63.00,89.00,37.00,25.00,APPROVED
NY: YAPHANK,01/10/2019 17:26:00,48.00,1622.00,841.00,240.00,100.00,63.00,84.00,37.00,25.00,APPROVED
NY: YAPHANK,01/10/2019 18:26:00,45.00,1613.00,854.00,245.00,100.00,64.00,87.00,36.00,25.00,APPROVED
NY: YAPHANK,01/10/2019 19:26:00,47.00,1613.00,852.00,241.00,101.00,63.00,86.00,37.00,26.00,APPROVED
NY: YAPHANK,01/10/2019 20:26:00,48.00,1609.00,842.00,239.00,98.00,66.00,86.00,37.00,26.00,APPROVED
NY: YAPHANK,01/10/2019 21:27:00,46.00,1616.00,847.00,238.00,98.00,63.00,85.00,36.00,26.00,APPROVED
NY: YAPHANK,01/10/2019 22:27:00,45.00,1611.00,834.00,239.00,99.00,65.00,85.00,36.00,26.00,APPROVED
NY: YAPHANK,01/10/2019 23:27:00,47.00,1610.00,843.00,238.00,99.00,63.00,84.00,36.00,24.00,APPROVED
NY: YAPHANK,01/11/2019 00:27:00,46.00,1609.00,843.00,235.00,100.00,63.00,84.00,34.00,26.00,APPROVED
NY: YAPHANK,01/11/2019 01:28:00,47.00,1608.00,844.00,238.00,98.00,64.00,84.00,35.00,26.00,APPROVED
NY: YAPHANK,01/11/2019 02:28:00,45.00,1615.00,842.00,239.00,97.00,65.00,84.00,33.00,26.00,APPROVED
NY: YAPHANK,01/11/2019 03:28:00,46.00,1614.00,847.00,243.00,98.00,64.00,84.00,33.00,25.00,APPROVED
NY: YAPHANK,01/11/2019 04:28:00,46.00,1607.00,841.00,236.00,100.00,64.00,85.00,33.00,26.00,APPROVED
NY: YAPHANK,01/11/2019 05:28:00,45.00,1602.00,828.00,236.00,98.00,64.00,84.00,33.00,25.00,APPROVED
NY: YAPHANK,01/11/2019 06:29:00,45.00,1601.00,829.00,234.00,97.00,63.00,81.00,33.00,27.00,APPROVED
NY: YAPHANK,01/11/2019 07:29:00,45.00,1593.00,829.00,233.00,96.00,61.00,84.00,33.00,26.00,APPROVED
NY: YAPHANK,01/11/2019 08:29:00,44.00,1589.00,825.00,233.00,97.00,65.00,80.00,32.00,25.00,APPROVED
NY: YAPHANK,01/11/2019 09:29:00,46.00,1579.00,817.00,230.00,95.00,60.00,80.00,31.00,26.00,APPROVED
NY: YAPHANK,01/11/2019 10:30:00,44.00,1564.00,802.00,229.00,94.00,60.00,81.00,30.00,26.00,APPROVED
NY: YAPHANK,01/11/2019 11:30:00,44.00,1577.00,802.00,224.00,96.00,62.00,81.00,31.00,25.00,APPROVED
NY: YAPHANK,01/11/2019 12:30:00,44.00,1573.00,801.00,228.00,96.00,60.00,80.00,30.00,24.00,APPROVED
NY: YAPHANK,01/11/2019 13:30:00,44.00,1582.00,806.00,230.00,96.00,62.00,79.00,30.00,25.00,APPROVED
NY: YAPHANK,01/11/2019 14:31:00,44.00,1571.00,805.00,230.00,94.00,60.00,79.00,31.00,25.00,APPROVED
NY: YAPHANK,01/11/2019 15:31:00,44.00,1564.00,804.00,226.00,96.00,60.00,80.00,30.00,24.00,APPROVED
NY: YAPHANK,01/11/2019 16:31:00,45.00,1577.00,814.00,229.00,97.00,61.00,82.00,33.00,25.00,APPROVED
NY: YAPHANK,01/11/2019 17:31:00,44.00,1592.00,813.00,228.00,96.00,62.00,82.00,33.00,25.00,APPROVED
NY: YAPHANK,01/11/2019 18:31:00,44.00,1592.00,820.00,234.00,99.00,61.00,82.00,32.00,25.00,APPROVED
NY: YAPHANK,01/11/2019 19:32:00,44.00,1599.00,827.00,231.00,96.00,64.00,80.00,35.00,25.00,APPROVED
NY: YAPHANK,01/11/2019 20:32:00,43.00,1596.00,828.00,233.00,96.00,61.00,82.00,35.00,25.00,APPROVED
NY: YAPHANK,01/11/2019 21:32:00,45.00,1595.00,829.00,234.00,94.00,63.00,82.00,35.00,25.00,APPROVED
NY: YAPHANK,01/11/2019 22:32:00,45.00,1590.00,823.00,229.00,97.00,63.00,82.00,33.00,26.00,APPROVED
NY: YAPHANK,01/11/2019 23:33:00,45.00,1579.00,808.00,232.00,95.00,62.00,84.00,31.00,26.00,APPROVED
NY: YAPHANK,01/12/2019 00:33:00,44.00,1579.00,817.00,230.00,93.00,61.00,82.00,33.00,25.00,APPROVED
NY: YAPHANK,01/12/2019 01:33:00,44.00,1575.00,811.00,229.00,93.00,60.00,80.00,31.00,26.00,APPROVED
NY: YAPHANK,01/12/2019 02:33:00,44.00,1590.00,812.00,231.00,96.00,62.00,80.00,31.00,25.00,APPROVED
NY: YAPHANK,01/12/2019 03:34:00,43.00,1581.00,811.00,231.00,97.00,61.00,80.00,31.00,25.00,APPROVED
NY: YAPHANK,01/12/2019 04:34:00,43.00,1580.00,809.00,226.00,95.00,62.00,80.00,31.00,25.00,APPROVED
NY: YAPHANK,01/12/2019 05:34:00,44.00,1573.00,803.00,230.00,94.00,63.00,79.00,32.00,24.00,APPROVED
NY: YAPHANK,01/12/2019 06:34:00,45.00,1578.00,795.00,228.00,95.00,61.00,80.00,31.00,25.00,APPROVED
NY: YAPHANK,01/12/2019 07:34:00,45.00,1567.00,788.00,224.00,93.00,61.00,78.00,29.00,24.00,APPROVED
NY: YAPHANK,01/12/2019 08:35:00,42.00,1571.00,793.00,229.00,93.00,60.00,80.00,30.00,25.00,APPROVED
NY: YAPHANK,01/12/2019 09:35:00,45.00,1593.00,803.00,230.00,96.00,60.00,79.00,30.00,25.00,APPROVED
NY: YAPHANK,01/12/2019 10:35:00,45.00,1567.00,804.00,226.00,97.00,61.00,78.00,30.00,26.00,APPROVED
NY: YAPHANK,01/12/2019 11:35:00,46.00,1583.00,802.00,232.00,96.00,63.00,78.00,31.00,25.00,APPROVED
NY: YAPHANK,01/12/2019 12:36:00,44.00,1574.00,801.00,233.00,96.00,60.00,80.00,31.00,26.00,APPROVED
NY: YAPHANK,01/12/2019 13:36:00,44.00,1593.00,817.00,232.00,96.00,63.00,82.00,31.00,26.00,APPROVED
NY: YAPHANK,01/12/2019 14:36:00,45.00,1576.00,808.00,230.00,97.00,61.00,80.00,31.00,26.00,APPROVED
NY: YAPHANK,01/12/2019 15:36:00,44.00,1583.00,813.00,230.00,97.00,61.00,81.00,30.00,25.00,APPROVED
NY: YAPHANK,01/12/2019 16:37:00,43.00,1586.00,816.00,232.00,96.00,60.00,84.00,33.00,24.00,APPROVED
NY: YAPHANK,01/12/2019 17:37:00,44.00,1593.00,822.00,232.00,96.00,62.00,83.00,34.00,27.00,APPROVED
NY: YAPHANK,01/12/2019 18:37:00,43.00,1599.00,831.00,236.00,98.00,63.00,80.00,37.00,24.00,APPROVED
NY: YAPHANK,01/12/2019 19:37:00,41.00,1600.00,833.00,234.00,98.00,62.00,80.00,36.00,26.00,APPROVED
NY: YAPHANK,01/12/2019 20:37:00,42.00,1598.00,825.00,231.00,97.00,62.00,80.00,36.00,25.00,APPROVED
NY: YAPHANK,01/12/2019 21:38:00,41.00,1598.00,834.00,230.00,99.00,62.00,81.00,37.00,25.00,APPROVED
NY: YAPHANK,01/12/2019 22:38:00,44.00,1593.00,825.00,230.00,98.00,60.00,83.00,34.00,25.00,APPROVED
NY: YAPHANK,01/12/2019 23:38:00,42.00,1599.00,828.00,231.00,95.00,62.00,83.00,32.00,25.00,APPROVED
NY: YAPHANK,01/13/2019 00:38:00,46.00,1598.00,824.00,230.00,98.00,63.00,80.00,33.00,24.00,APPROVED
NY: YAPHANK,01/13/2019 01:39:00,43.00,1598.00,826.00,237.00,98.00,64.00,82.00,33.00,26.00,APPROVED
NY: YAPHANK,01/13/2019 02:39:00,42.00,1599.00,829.00,235.00,96.00,63.00,83.00,32.00,25.00,APPROVED
NY: YAPHANK,01/13/2019 03:39:00,43.00,1594.00,824.00,235.00,97.00,65.00,81.00,33.00,24.00,APPROVED
NY: YAPHANK,01/13/2019 04:39:00,43.00,1601.00,827.00,234.00,97.00,61.00,82.00,33.00,25.00,APPROVED
NY: YAPHANK,01/13/2019 05:40:00,45.00,1608.00,834.00,232.00,96.00,63.00,84.00,34.00,24.00,APPROVED
NY: YAPHANK,01/13/2019 06:40:00,44.00,1606.00,825.00,231.00,100.00,61.00,80.00,33.00,25.00,APPROVED
NY: YAPHANK,01/13/2019 07:40:00,44.00,1606.00,823.00,231.00,97.00,61.00,81.00,32.00,26.00,APPROVED
NY: YAPHANK,01/13/2019 08:40:00,44.00,1599.00,824.00,230.00,97.00,62.00,82.00,32.00,25.00,APPROVED
NY: YAPHANK,01/13/2019 09:40:00,42.00,1595.00,822.00,233.00,97.00,62.00,78.00,33.00,25.00,APPROVED
NY: YAPHANK,01/13/2019 10:41:00,44.00,1587.00,822.00,234.00,96.00,62.00,77.00,32.00,26.00,APPROVED
NY: YAPHANK,01/13/2019 11:41:00,44.00,1599.00,815.00,229.00,95.00,61.00,80.00,31.00,24.00,APPROVED
NY: YAPHANK,01/13/2019 12:41:00,44.00,1598.00,815.00,230.00,96.00,61.00,83.00,31.00,25.00,APPROVED
NY: YAPHANK,01/13/2019 13:41:00,43.00,1579.00,810.00,227.00,95.00,60.00,79.00,30.00,25.00,APPROVED
NY: YAPHANK,01/13/2019 14:42:00,44.00,1584.00,804.00,228.00,95.00,60.00,81.00,32.00,25.00,APPROVED
NY: YAPHANK,01/13/2019 15:42:00,42.00,1598.00,814.00,233.00,93.00,61.00,81.00,31.00,25.00,APPROVED
NY: YAPHANK,01/13/2019 16:42:00,44.00,1606.00,826.00,232.00,97.00,64.00,82.00,32.00,25.00,APPROVED
NY: YAPHANK,01/13/2019 17:42:00,44.00,1602.00,832.00,235.00,99.00,62.00,82.00,34.00,25.00,APPROVED
NY: YAPHANK,01/13/2019 18:43:00,45.00,1620.00,833.00,236.00,95.00,63.00,83.00,34.00,25.00,APPROVED
NY: YAPHANK,01/13/2019 19:43:00,42.00,1608.00,843.00,232.00,98.00,64.00,79.00,34.00,26.00,APPROVED
NY: YAPHANK,01/13/2019 20:43:00,44.00,1602.00,827.00,234.00,98.00,64.00,81.00,34.00,24.00,APPROVED
NY: YAPHANK,01/13/2019 21:43:00,43.00,1600.00,829.00,235.00,96.00,63.00,82.00,33.00,26.00,APPROVED
NY: YAPHANK,01/13/2019 22:44:00,46.00,1605.00,832.00,232.00,98.00,63.00,82.00,32.00,24.00,APPROVED
NY: YAPHANK,01/13/2019 23:44:00,46.00,1601.00,819.00,234.00,97.00,62.00,81.00,32.00,26.00,APPROVED
NY: YAPHANK,01/14/2019 00:44:00,42.00,1603.00,823.00,229.00,95.00,63.00,81.00,34.00,26.00,APPROVED
NY: YAPHANK,01/14/2019 01:44:00,44.00,1597.00,822.00,233.00,96.00,62.00,82.00,33.00,25.00,APPROVED
NY: YAPHANK,01/14/2019 02:44:00,45.00,1596.00,823.00,231.00,99.00,62.00,83.00,32.00,24.00,APPROVED
NY: YAPHANK,01/14/2019 03:45:00,44.00,1597.00,832.00,231.00,98.00,62.00,83.00,33.00,25.00,APPROVED
NY: YAPHANK,01/14/2019 04:45:00,44.00,1644.00,877.00,240.00,103.00,65.00,83.00,43.00,25.00,APPROVED
NY: YAPHANK,01/14/2019 05:45:00,45.00,1669.00,900.00,246.00,108.00,65.00,87.00,49.00,26.00,APPROVED
NY: YAPHANK,01/14/2019 06:45:00,44.00,1675.00,908.00,246.00,109.00,68.00,86.00,49.00,25.00,APPROVED
NY: YAPHANK,01/14/2019 07:46:00,42.00,1654.00,902.00,243.00,107.00,66.00,85.00,48.00,26.00,APPROVED
NY: YAPHANK,01/14/2019 08:46:00,46.00,1664.00,898.00,240.00,108.00,68.00,86.00,48.00,26.00,APPROVED
NY: YAPHANK,01/14/2019 09:46:00,45.00,1650.00,902.00,242.00,112.00,68.00,85.00,50.00,25.00,APPROVED
NY: YAPHANK,01/14/2019 10:46:00,43.00,1668.00,902.00,245.00,110.00,67.00,87.00,50.00,27.00,APPROVED
NY: YAPHANK,01/14/2019 11:47:00,45.00,1669.00,904.00,244.00,110.00,67.00,85.00,50.00,26.00,APPROVED
NY: YAPHANK,01/14/2019 12:47:00,45.00,1674.00,908.00,247.00,110.00,64.00,87.00,48.00,26.00,APPROVED
NY: YAPHANK,01/14/2019 13:47:00,45.00,1657.00,904.00,244.00,112.00,66.00,86.00,49.00,25.00,APPROVED
NY: YAPHANK,01/14/2019 14:47:00,44.00,1656.00,909.00,244.00,114.00,65.00,86.00,49.00,26.00,APPROVED
NY: YAPHANK,01/14/2019 15:48:00,46.00,1657.00,905.00,243.00,111.00,66.00,86.00,48.00,28.00,APPROVED
NY: YAPHANK,01/14/2019 16:48:00,44.00,1650.00,901.00,246.00,108.00,66.00,85.00,48.00,25.00,APPROVED
NY: YAPHANK,01/14/2019 17:48:00,45.00,1660.00,893.00,240.00,110.00,66.00,85.00,50.00,26.00,APPROVED
NY: YAPHANK,01/14/2019 18:48:00,44.00,1657.00,891.00,241.00,110.00,67.00,85.00,48.00,24.00,APPROVED
NY: YAPHANK,01/14/2019 19:48:00,43.00,1646.00,898.00,241.00,108.00,66.00,84.00,49.00,25.00,APPROVED
NY: YAPHANK,01/14/2019 20:49:00,45.00,1647.00,890.00,242.00,107.00,66.00,84.00,50.00,26.00,APPROVED
NY: YAPHANK,01/14/2019 21:49:00,43.00,1640.00,899.00,240.00,108.00,65.00,83.00,49.00,26.00,APPROVED
